id,catalog.shortName,,,mass_1_source,mass_2_source,network_matched_filter_snr,luminosity_distance,chi_eff,total_mass_source,chirp_mass_source,chirp_mass,redshift,far,p_astro,final_mass_source
GW200209_085452-v1,GWTC,3,confident,35.6,27.1,9.6,3400,-0.12,62.6,26.7,,0.57,0.046,0.95396,59.9
GW200210_092254-v1,GWTC,3,confident,24.1,2.83,8.4,940,0.02,27,6.56,,0.19,1.2,0.42219,26.7
GW200216_220804-v1,GWTC,3,confident,51,30,8.1,3800,0.1,81,32.9,,0.63,0.35,0.77277,78
GW200219_094415-v1,GWTC,3,confident,37.5,27.9,10.7,3400,-0.08,65,27.6,,0.57,0.00099,0.99,62.2
GW200220_061928-v1,GWTC,3,confident,87,61,7.2,6000,0.06,148,62,,0.9,6.8,0.62376,141
GW200220_124850-v1,GWTC,3,confident,38.9,27.9,8.5,4000,-0.07,67,28.2,,0.66,30,0.20309,64
GW200224_222234-v1,GWTC,3,confident,40,32.5,20,1710,0.1,72.2,31.1,,0.32,1.00E-05,0.99,68.6
GW200225_060421-v1,GWTC,3,confident,19.3,14,12.5,1150,-0.12,33.5,14.2,,0.22,1.10E-05,0.99,32.1
GW200302_015811-v1,GWTC,3,confident,37.8,20,10.8,1480,0.01,57.8,23.4,,0.28,0.11,0.90643,55.5
GW200306_093714-v1,GWTC,3,confident,28.3,14.8,7.8,2100,0.32,43.9,17.5,,0.38,24,0.24004,41.7
GW200308_173609-v1,GWTC,3,confident,36.4,13.8,7.1,5400,0.65,50.6,19,,0.83,2.4,0.8566,47.4
GW200311_115853-v1,GWTC,3,confident,34.2,27.7,17.8,1170,-0.02,61.9,26.6,,0.23,1.00E-05,0.99,59
GW200316_215756-v1,GWTC,3,confident,13.1,7.8,10.3,1120,0.13,21.2,8.75,,0.22,1.00E-05,0.99,20.2
GW200322_091133-v1,GWTC,3,confident,34,14,6,3600,0.24,55,15.5,,0.6,140,0.077572,53
